angle,sine,prediction,anomaly score
0.0,0.0,0.0,1.0
0.06283185307179587,0.06279051952931337,0.06279051952931337,1.0
0.12566370614359174,0.12533323356430426,0.12533323356430426,1.0
0.18849555921538758,0.1873813145857246,0.12533323356430426,1.0
0.25132741228718347,0.2486898871648548,0.06279051952931337,1.0
0.3141592653589793,0.3090169943749474,0.2486898871648548,1.0
0.37699111843077515,0.3681245526846779,0.06279051952931337,1.0
0.43982297150257105,0.42577929156507266,0.06279051952931337,1.0
0.5026548245743669,0.4817536741017153,0.3090169943749474,1.0
0.5654866776461628,0.5358267949789967,0.4817536741017153,1.0
0.6283185307179586,0.5877852522924731,0.12533323356430426,1.0
0.6911503837897545,0.6374239897486896,0.06279051952931337,1.0
0.7539822368615503,0.6845471059286886,0.4817536741017153,1.0
0.8168140899333463,0.7289686274214116,0.6845471059286886,1.0
0.8796459430051421,0.7705132427757891,0.7289686274214116,1.0
0.9424777960769378,0.8090169943749473,0.7705132427757891,1.0
1.0053096491487339,0.8443279255020151,0.8090169943749473,1.0
1.0681415022205298,0.8763066800438637,0.8443279255020151,1.0
1.1309733552923256,0.9048270524660196,0.8763066800438637,1.0
1.1938052083641213,0.9297764858882513,0.9048270524660196,1.0
1.2566370614359172,0.9510565162951535,0.9297764858882513,1.0
1.3194689145077132,0.9685831611286311,0.9510565162951535,0.90000000000000002
1.382300767579509,0.9822872507286886,0.9685831611286311,0.82499999999999996
1.4451326206513047,0.9921147013144778,0.9822872507286886,0.375
1.5079644737231006,0.9980267284282716,0.9921147013144778,0.050000000000000003
1.5707963267948966,1.0,0.9980267284282716,0.0
1.6336281798666925,0.9980267284282716,0.9986187098997901,0.0
1.6964600329384882,0.9921147013144779,0.9984411154583346,0.0
1.7592918860102842,0.9822872507286887,0.9984411154583346,0.0
1.8221237390820801,0.9685831611286311,0.9984411154583346,0.050000000000000003
1.8849555921538756,0.9510565162951536,0.9685831611286311,0.125
1.9477874452256716,0.9297764858882515,0.9510565162951534,0.17499999999999999
2.0106192982974678,0.9048270524660195,0.9297764858882513,0.375
2.0734511513692637,0.8763066800438635,0.9048270524660196,0.45000000000000001
2.1362830044410597,0.844327925502015,0.8763066800438636,0.625
2.199114857512855,0.8090169943749475,0.844327925502015,0.82499999999999996
2.261946710584651,0.7705132427757893,0.8090169943749473,0.80000000000000004
2.324778563656447,0.7289686274214116,0.7705132427757891,0.875
